"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"3519","ABRACADEIRA 3"" PINTADO C/ SUPORTE RETO ALCA ","","","","","","","","B074E","","","","","","","PC ","14.99 ","","16.93 ","","","S1   ","3.00 ","3.00 ","","0","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","4 ","","4","S/Analise","","0","0","0","C/Analise","","0",""
"3516","ABRACADEIRA 3,5"" CROMADA C/ SUPORTE RETO ALCA","","","","","","","","B074B","","","","","","","PC ","53.05 ","","45.47 ","","","S1   ","5.00 ","5.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","33 ","","33","S/Analise","","0","0","0","C/Analise","","0",""
"38115","ABRACADEIRA 3,5"" CROMADA C/ SUPORTE RETO ALCA ","","","","","","","","B074B","","","","","6981","","PC ","51.99 ","","51.41 ","","","S1   ","10.00 ","12.00 ","","-2","SALÃO 11/2017","","","9999-1/2-/31","","0","16 ","","16","S/Analise","","0","2","2","S/Analise","","0.5",""
"31819","ABRACADEIRA 3,5"" INOX TUBO FLEXIVEL","","","","","","","","B072S","","6954920040","","","7447","","PC ","45.76 ","","39.80 ","","","S1   ","14.00 ","14.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","14 ","","14","S/Analise","","0","12","12","S/Analise","","1",""
"3511","ABRACADEIRA 3,5"" INOX TUBO FLEXIVEL ","","","","","","","","B072S","","6954920040","","","","","PC ","45.76 ","","45.89 ","","","S1   ","11.00 ","13.00 ","","-2","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","146 ","","146","S/Analise","","0","2","2","S/Analise","","0",""
"28599","ABRACADEIRA 3,5"" INOX TUBO MOTOR MB ATEGO 1723 1725 2423 2425 / AXOR 1933 2533 / 1728 2423K ELETRONICO","","","","","","","","B072Z","","A6209970590","","","","","PC ","27.41 ","","27.89 ","","","S1   ","6.00 ","7.00 ","","-1","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","21 ","","21","S/Analise","","0","1","1","S/Analise","","0",""
"35278","ABRACADEIRA 3,5"" INOX TUBO MOTOR MB ATEGO 1723 1725 2423 2425 / AXOR 1933 2533 / 1728 2423K ELETRONICO","","","","","","","","B072Z","","A6209970590","","","7479","","PC ","29.86 ","","30.27 ","","","S1   ","3.00 ","3.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","5 ","","5","S/Analise","","0","4","4","S/Analise","","0.5",""
"3809","ABRACADEIRA 3,5"" INOX TUBO SAIDA - VW CONSTELLATION","","","","","","","","W929N","","2T2253141F","","","","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","1.00 ","","-1","NÃO FABRICA MAIS","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"3447","ABRACADEIRA 3,5"" PINTADA","","","","","","","","B070C","","","","","","","PC ","19.95 ","","11.48 ","","","S1   ","6.00 ","0.00 ","","6","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","406 ","","406","S/Analise","","0","20","20","S/Analise","","0",""
"3517","ABRACADEIRA 3,5"" PINTADA C/ SUPORTE RETO ALCA ","","","","","","","","B074C","","","","","","","PC ","14.95 ","","14.95 ","","","S1   ","1.00 ","3.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","3 ","","3","S/Analise","","0","0","0","C/Analise","","0",""
"3807","ABRACADEIRA 3,5"" PINTADA TUBO MOTOR - VW CONSTELLATION ","","","","","","","","W929L","","2T2253143H","","","","","PC ","10.17 ","","9.81 ","","","S1   ","2.00 ","2.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0",""
"33043","ABRACADEIRA 3,5"" PINTADA TUBO MOTOR - VW CONSTELLATION ","","","","","","","","W929L","","2T2253143H","","","","","PC ","10.26 ","","11.01 ","","","S1   ","0.00 ","2.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","3 ","","3","S/Analise","","0","0","0","C/Analise","","0",""
