"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"48","FAIXA BRANCA A17,5 PNEU S/CAM.DIANT.","","","","","","","","EB040I","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"49","FAIXA BRANCA ARO 16","","","","","","","","B041","","","","","","","PC ","00.01","","00.01","","","S1   ","00.01","00.01","","-2","LOJA RP OK","","","9999-1/2-/31","","0","00","","32","S/Analise","","0","0","0","C/Analise","","0",""
"57","BUJAO DRENO (6012006012008)","","","","","","","","I195","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"59","BUJAO NYLON TQ.(A3844730033) 300L OF/OH","","","","","","","","I491","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"60","GANCHO CORTINA","","","","","","","","M150","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"61","CAPA PORCA PLASTICA P/ CALOTA","","","","","","","","M158A","","","","","","","PC ","00.00","","00.00","","","S1   ","00.27","00.03","","240","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","00","","30","S/Analise","","0","0","0","C/Analise","","0",""
"62","CAPA CROMADA PARA PORCA 32 MM - BEPO ","","","","","","","","M158B","","","","","","","PC ","00.00","","00.00","","","S1   ","00.09","00.12","","-28","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","03","","2700","S/Analise","","0","50","50","S/Analise","","0",""
"63","CAPA CROMADA PARA PORCA 30 MM - BEPO ","","","","","","","","M158C","","","","","","","PC ","00.00","","00.00","","","S1   ","00.07","00.09","","-24","LOJA RP OK","","","9999-1/2-/31","","0","00","","300","S/Analise","","0","0","0","C/Analise","","0",""
"64","CAPA CROMADA PARA PORCA 27 MM - BEPO ","","","","","","","","M158H","","","","","","","PC ","00.00","","00.00","","","S1   ","00.02","00.10","","-79","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","01","","1390","S/Analise","","0","50","50","S/Analise","","0",""
"65","CAPA CROMADA PARA PORCA 33 MM - BEPO","","","","","","","","M158I","","","","","","","PC ","00.00","","00.00","","","S1   ","00.10","00.19","","-94","LOJA RP OK","","","9999-1/2-/31","","0","07","","6885","S/Analise","","0","0","0","C/Analise","","0",""
